token,Happiness Score
friday,
briefing,
can,5.92
the,5.2
politics,
of,4.82
cruelty,
around,5.74
asylum,
help,4.68
labour,
in,5.76
the,5.2
polls,
iran,
backed,
militias,
intensify,
attacks,
against,
us,5.94
israel,5.18
and,5.4
allies,
a,5.26
lone,
battle,
why,4.48
is,5.34
pedro,5.68
the,5.2
only,5.1
european,
leader,
to,4.84
take,5.78
on,6.1
trump,
jimmy,
lai,
will,6.18
not,3.88
appeal,
conviction,
paving,
way,5.72
for,5.32
political,
negotiations,
over,4.2
release,
ukraine,
war,2.04
briefing,
trump,
urges,
zelenskyy,
to,4.84
get,6.0
a,5.26
deal,
done,6.58
with,5.94
russia,
explosions,
heard,
across,
tel,5.76
aviv,
as,5.2
it,5.46
happened,
how,5.64
became,
the,5.2
go,6.34
to,4.84
platform,
for,5.32
the,5.2
world,6.84
to,4.84
watch,6.18
global,6.74
aviation,
crises,
unfold,
i,5.12
think,6.42
i,5.12
could,5.66
run,6.48
even,5.74
faster,
the,5.2
nz,
teenager,
shattering,
athletics,
records,
israel,5.18
launches,
huge,
strikes,
against,
south,5.92
beirut,
after,5.4
mass,5.7
evacuation,
order,5.92
iran,
war,2.04
briefing,
israeli,
military,
tells,5.54
hundreds,
of,4.82
thousands,
to,4.84
leave,4.4
beirut,
eu,5.58
agrees,
to,4.84
chop,
meaty,
names,
from,5.66
vegetarian,
and,5.4
vegan,
food,
products,
portugal,6.08
fined,
by,5.28
eu,5.58
court,
for,5.32
failing,
to,4.84
protect,
biodiversity,
stock,5.62
market,
falls,
resume,
as,5.2
us,5.94
israel,5.18
war,2.04
with,5.94
iran,
drives,
up,6.08
oil,
and,5.4
gas,5.24
prices,
who,5.14
are,5.46
the,5.2
kurds,
and,5.4
why,4.48
does,5.5
trump,
want,6.34
them,5.54
to,4.84
join,6.6
the,5.2
war,2.04
on,6.1
iran,
three,
men,6.34
deported,
by,5.28
us,5.94
file,5.4
legal,5.78
case,5.24
against,
eswatini,
over,4.2
detention,
sri,
lanka,
evacuates,
crew,
from,5.66
iranian,
navy,
vessel,
days,6.44
after,5.4
warship,
was,4.84
destroyed,
by,5.28
us,5.94
germany,
moves,
to,4.84
legalise,
wolf,
hunting,
in,5.76
response,
to,4.84
livestock,
bloodlust,
senators,
demand,
investigation,
after,5.4
ninth,
american,5.68
killed,
by,5.28
israeli,
settlers,
or,5.24
soldiers,
in,5.76
west,
bank,
sirens,
over,4.2
raf,
akrotiri,
in,5.76
cyprus,
are,5.46
stark,
reminder,
of,4.82
its,5.18
proximity,
to,4.84
war,2.04
celebrating,
women,
s,5.02
contribution,
in,5.76
times,5.76
of,4.82
war,2.04
and,5.4
peace,7.86
brief,
letters,
jimmy,
lai,
and,5.4
the,5.2
rule,
of,4.82
law,
in,5.76
hong,5.06
kong,5.6
letter,
delayed,
uk,6.12
rescue,
flight,
takes,
off,4.0
from,5.66
oman,
with,5.94
british,
nationals,
south,5.92
africa,5.96
s,5.02
president,
calls,
trump,
s,5.02
policy,4.72
to,4.84
offer,
refuge,
to,4.84
white,6.1
afrikaners,
racist,
german,
foreign,
minister,
says,5.66
we,5.96
will,6.18
not,3.88
allow,
ourselves,
to,4.84
be,5.66
divided,
after,5.4
trump,
spain,6.42
spat,
as,5.2
it,5.46
happened,
nepal,
voting,
closes,
in,5.76
election,
pitting,
old,4.48
guard,
against,
powerful,
youth,
movement,
azerbaijan,
accuses,
iran,
of,4.82
terrorist,
drone,
attack,
on,6.1
airport,
that,5.34
injured,
four,
people,6.92
this,5.38
is,5.34
a,5.26
needless,
war,2.04
americans,
share,6.48
their,5.46
thoughts,
on,6.1
the,5.2
us,5.94
israel,5.18
attacks,
on,6.1
iran,
union,7.14
fails,
to,4.84
win,7.6
control,5.82
of,4.82
works,
council,
at,4.9
tesla,
s,5.02
german,
factory,
vanuatu,
moves,
forward,
with,5.94
un,5.26
climate,
resolution,6.34
despite,
trump,
opposition,
everyone,6.86
s,5.02
calling,
demand,
for,5.32
private,
jets,
from,5.66
uk,6.12
firm,
soars,
by,5.28
up,6.08
to,4.84
amid,
iran,
war,2.04
airstrikes,
hit,5.6
iran,
iraq,
border,
as,5.2
us,5.94
and,5.4
israeli,
plan,6.3
to,4.84
mobilise,
kurds,
gathers,
pace,
globalisation,
is,5.34
under,4.6
threat,
from,5.66
iran,
war,2.04
and,5.4
britain,
is,5.34
uniquely,
vulnerable,
uk,6.12
defence,
secretary,
flies,
to,4.84
cyprus,
amid,
fallout,
over,4.2
raf,
base,5.46
drone,
strike,
thursday,
briefing,
were,5.1
a,5.26
generation,
of,4.82
students,
mis,5.86
sold,
the,5.2
idea,7.36
of,4.82
a,5.26
university,7.4
degree,
social,6.7
climber,
punch,
the,5.2
monkey,
starts,
to,4.84
outgrow,
his,5.32
ikea,
plushie,
gen,
z,4.94
males,2.88
twice,
as,5.2
likely,
as,5.2
baby,7.5
boomers,
to,4.84
believe,6.58
wives,
should,4.86
obey,
husbands,
us,5.94
did,5.18
not,3.88
share,6.48
details,5.66
with,5.94
the,5.2
uk,6.12
before,5.16
attacking,
iran,
sources,
say,5.82
china,5.68
sets,
lowest,
gdp,
growth,
target,
for,5.32
decades,
as,5.2
it,5.46
braces,
for,5.32
economic,
slowdown,
us,5.94
submarine,
sank,
iranian,
warship,
hegseth,
says,5.66
as,5.2
it,5.46
happened,
ukraine,
war,2.04
briefing,
russia,
claims,
lng,
tanker,
in,5.76
mediterranean,
hit,5.6
by,5.28
drones,
why,4.48
does,5.5
yao,
ming,
the,5.2
ex,3.92
basketballer,
attend,
china,5.68
s,5.02
two,5.72
sessions,
meetings,
papua,
new,7.06
guinea,5.6
offers,
cash,
for,5.32
guns,
as,5.2
amnesty,
opens,
to,4.84
combat,
escalating,
tribal,
violence,
us,5.94
may,5.72
not,3.88
have,6.12
capacity,
to,4.84
take,5.78
down,3.7
full,5.84
barrage,
of,4.82
iranian,
drones,
officials,
warn,
putin,
accuses,
ukraine,
of,4.82
attacking,
gas,5.24
tanker,
that,5.34
exploded,
and,5.4
sank,
off,4.0
libya,
us,5.94
submarine,
sinks,
iranian,
warship,
as,5.2
conflict,
spreads,
beyond,
middle,
east,
starmer,
s,5.02
slow,
start,6.54
in,5.76
the,5.2
war,2.04
against,
iran,
could,5.66
leave,4.4
uk,6.12
playing,7.56
catch,
up,6.08
he,5.36
was,4.84
smart,
and,5.4
kind,
and,5.4
amazing,7.58
six,
american,5.68
soldiers,
killed,
in,5.76
kuwait,
remembered,
a,5.26
new,7.06
normal,5.94
inquiry,
s,5.02
key,
findings,
on,6.1
how,5.64
covid,
changed,
uk,6.12
society,
israel,5.18
launches,
new,7.06
wave,
of,4.82
strikes,
on,6.1
iran,
what,5.16
we,5.96
know,6.26
on,6.1
day,6.48
five,
of,4.82
war,2.04
israel,5.18
strikes,
tehran,
and,5.4
beirut,
as,5.2
iran,
vows,
complete,
destruction,
in,5.76
region,5.4
how,5.64
the,5.2
us,5.94
israeli,
war,2.04
on,6.1
iran,
created,
a,5.26
massive,
hole,
in,5.76
global,6.74
airspace,
european,
commission,
proposes,
buy,6.44
eu,5.58
plan,6.3
to,4.84
compete,
against,
china,5.68
any,5.56
threat,
against,
member,5.98
state,
is,5.34
threat,
against,
the,5.2
eu,5.58
says,5.66
commissioner,
in,5.76
response,
to,4.84
trump,
comments,5.96
europe,
live,7.1
pete,
hegseth,
says,5.66
us,5.94
is,5.34
investigating,
deadly,
strike,
on,6.1
girls,7.28
school,6.46
in,5.76
iran,
will,6.18
trump,
s,5.02
middle,
east,
war,2.04
also,5.74
engulf,
friedrich,
merz,
britain,
not,3.88
ruling,
out,4.12
future,
strikes,
on,6.1
iran,
missile,
sites,
officials,
indicate,
from,5.66
petrol,
to,4.84
groceries,
how,5.64
middle,
east,
crisis,2.5
is,5.34
driving,
up,6.08
prices,
hanging,
on,6.1
to,4.84
trump,
s,5.02
latest,
words,6.16
is,5.34
not,3.88
the,5.2
special,6.96
relationship,
starmer,
tells,5.54
mps,
israel,5.18
flagged,
hezbollah,
threat,
before,5.16
launching,
air,6.62
attacks,
leaked,
memo,
shows,
trump,
administration,
waging,
illegal,
war,2.04
on,6.1
iran,
experts,
say,5.82
ali,
khamenei,
s,5.02
son,5.84
mojtaba,
favourite,
to,4.84
succeed,
him,5.46
as,5.2
iran,
s,5.02
supreme,
leader,
no,3.34
to,4.84
war,2.04
doubles,
down,3.7
after,5.4
trump,
threat,
to,4.84
cut,
off,4.0
trade,
with,5.94
spain,6.42
attacking,
iran,
s,5.02
nuclear,
programme,
could,5.66
drive,
it,5.46
towards,
a,5.26
bomb,
experts,
warn,
we,5.96
never,3.76
imagined,
this,5.38
the,5.2
cypriot,
village,
on,6.1
edge,
after,5.4
raf,
akrotiri,
drone,
strike,
cuba,6.36
charges,
six,
exiles,
with,5.94
terrorism,
in,5.76
wake,
of,4.82
deadly,
speedboat,
attack,
wednesday,
briefing,
was,4.84
the,5.2
chancellor,
s,5.02
spring,
statement,
already,6.46
out,4.12
of,4.82
date,6.2
middle,
east,
conflict,
offers,
economic,
lifeline,
to,4.84
russia,
s,5.02
flagging,
war,2.04
machine,
trump,
says,5.66
us,5.94
will,6.18
provide,
insurance,
for,5.32
commercial,
shipping,
as,5.2
it,5.46
happened,
the,5.2
iran,
war,2.04
has,5.52
sparked,
travel,7.38
chaos,
how,5.64
will,6.18
flights,
be,5.66
rerouted,
and,5.4
can,5.92
other,5.26
airports,
meet,6.3
the,5.2
surge,6.06
in,5.76
demand,
ukraine,
war,2.04
briefing,
merz,
tells,5.54
trump,
ukraine,
must,5.26
not,3.88
give,6.26
up,6.08
more,6.34
territory,
china,5.68
s,5.02
two,5.72
sessions,
what,5.16
are,5.46
the,5.2
